temps, hour, article, father, orgID, type, ordre, article_age, x, y, z, x1, y1, z1,article_length, article_surface, article_volume, article_diameter, article_growth, article_dry_mass, dist_from_base
60.0, 12.0, maize.MerisRoot@6d86b085, maize.SegRoot@5f205aa, 58, 21, 2, 48.0, 1.257577532336364, 0.21191803763412478, -2.0191293405977833, 1.2575904202938069, 0.2118602635432475, -2.0191195398419284, 0.019633008, 0.0012109426, 3.9624074E-6, 0.019633008, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@75828a0f, maize.SegRoot@5f205aa, 2, 20, 1, 47.0, 1.2563016245495306, 0.21763767263097714, -2.020099615427396, 1.2575904202938069, 0.2118602635432475, -2.0191195398419284, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@68be2bc2, maize.SegRoot@75828a0f, 67, 21, 2, 3.0, 1.2562943270681313, 0.21769637387580448, -2.020109660847248, 1.2563016245495306, 0.21763767263097714, -2.020099615427396, 0.0023198505, 1.6907128E-4, 9.805502E-7, 0.023198504, 0.0769287, 0.0, 0.0
60.0, 12.0, maize.MerisRoot@3abfe836, maize.SegRoot@68be2bc2, 67, 21, 2, 47.0, 1.254051781375958, 0.21749002329650538, -2.0206665398949735, 1.2562943270681313, 0.21769637387580448, -2.020109660847248, 0.023198504, 0.0016907128, 6.5370014E-6, 0.023198504, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@2ff5659e, maize.SegRoot@75828a0f, 2, 20, 1, 47.0, 1.2555718764095938, 0.22350779711371221, -2.0211041574126445, 1.2563016245495306, 0.21763767263097714, -2.020099615427396, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@28feb3fa, maize.SegRoot@2ff5659e, 68, 21, 2, 5.0, 1.2555520458042497, 0.2235637247497548, -2.021113036965417, 1.2555718764095938, 0.22350779711371221, -2.0211041574126445, 0.0023995698, 1.8089087E-4, 1.0851506E-6, 0.023995697, 0.0793269, 0.0, 0.0
60.0, 12.0, maize.MerisRoot@77afea7d, maize.SegRoot@28feb3fa, 68, 21, 2, 47.0, 1.253544950382529, 0.22285797083156517, -2.022222728224994, 1.2555520458042497, 0.2235637247497548, -2.021113036965417, 0.023995697, 0.0018089088, 7.2343378E-6, 0.023995697, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@161cd475, maize.SegRoot@2ff5659e, 2, 20, 1, 46.0, 1.2535888158751824, 0.2291005607179703, -2.0219921126899085, 1.2555718764095938, 0.22350779711371221, -2.0211041574126445, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.MerisRoot@532760d8, maize.SegRoot@161cd475, 77, 21, 2, 46.0, 1.253567479842909, 0.22915593187861605, -2.0220009900844946, 1.2535888158751824, 0.2291005607179703, -2.0219921126899085, 0.017728835, 9.874391E-4, 2.9176906E-6, 0.017728835, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@57fa26b7, maize.SegRoot@161cd475, 2, 20, 1, 46.0, 1.2514552126478349, 0.234637676782544, -2.022879852148515, 1.2535888158751824, 0.2291005607179703, -2.0219921126899085, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.MerisRoot@5f8ed237, maize.SegRoot@57fa26b7, 78, 21, 2, 46.0, 1.2514448659822361, 0.23469625827002188, -2.022887672357907, 1.2514552126478349, 0.234637676782544, -2.022879852148515, 0.01951494, 0.0011964218, 3.89135E-6, 0.01951494, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@2f410acf, maize.SegRoot@57fa26b7, 2, 20, 1, 45.0, 1.2504205460879685, 0.24049582553033366, -2.02366187308771, 1.2514552126478349, 0.234637676782544, -2.022879852148515, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@675d3402, maize.SegRoot@2f410acf, 87, 21, 2, 5.0, 1.2503985204240904, 0.24055063516633593, -2.023672397999638, 1.2504205460879685, 0.24049582553033366, -2.02366187308771, 0.0026176532, 2.1526533E-4, 1.408725E-6, 0.026176533, 0.08580989, 0.0, 0.0
60.0, 12.0, maize.MerisRoot@47089e5f, maize.SegRoot@675d3402, 87, 21, 2, 45.0, 1.249649824622335, 0.23998328895283425, -2.0261156911288913, 1.2503985204240904, 0.24055063516633593, -2.023672397999638, 0.026176533, 0.0021526534, 9.3915E-6, 0.026176533, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@4141d797, maize.SegRoot@2f410acf, 2, 20, 1, 45.0, 1.2482179797001614, 0.24597678913055976, -2.0247143642805345, 1.2504205460879685, 0.24049582553033366, -2.02366187308771, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.MerisRoot@68f7aae2, maize.SegRoot@4141d797, 88, 21, 2, 45.0, 1.2481830306308315, 0.24602410818778356, -2.0247261739890616, 1.2482179797001614, 0.24597678913055976, -2.0247143642805345, 0.015736792, 7.7800493E-4, 2.0405505E-6, 0.015736792, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@4f47d241, maize.SegRoot@4141d797, 2, 20, 1, 44.0, 1.2447230727671712, 0.25070869485293973, -2.0258953351332316, 1.2482179797001614, 0.24597678913055976, -2.0247143642805345, 0.028982049, 0.0054629873, 8.194481E-5, 0.06, 0.0, 8.5767385E-7, 0.0
60.0, 12.0, maize.MerisRoot@4c3e4790, maize.SegRoot@4f47d241, 97, 21, 2, 44.0, 1.2445339230971428, 0.2509215642170036, -2.0259492327653494, 1.2447230727671712, 0.25070869485293973, -2.0258953351332316, 0.022595542, 0.0016039669, 6.0404172E-6, 0.022595542, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@38cccef, maize.SegRoot@4f47d241, 2, 20, 1, 43.0, 1.2258081057643446, 0.2719956312593276, -2.0312850983450033, 1.2447230727671712, 0.25070869485293973, -2.0258953351332316, 0.0742345, 0.013992873, 2.0989309E-4, 0.06, 0.0, 7.3611072E-6, 0.0
60.0, 12.0, maize.MerisRoot@5679c6c6, maize.SegRoot@38cccef, 106, 21, 2, 43.0, 1.2254889908230087, 0.2726560285868748, -2.0313996281555133, 1.2258081057643446, 0.2719956312593276, -2.0312850983450033, 0.023159085, 0.001684972, 6.5037348E-6, 0.023159085, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@27ddd392, maize.SegRoot@38cccef, 2, 20, 1, 43.0, 1.1938966116307541, 0.3380353640140544, -2.0427380793959924, 1.2258081057643446, 0.2719956312593276, -2.0312850983450033, 0.1, 0.018849555, 2.8274333E-4, 0.06, 0.0, 1.6158163E-5, 0.0
60.0, 12.0, maize.MerisRoot@19e1023e, maize.SegRoot@27ddd392, 107, 21, 2, 43.0, 1.1935819744530969, 0.3389701184176036, -2.0429031178196504, 1.1938966116307541, 0.3380353640140544, -2.0427380793959924, 0.021067642, 0.0013943817, 4.896056E-6, 0.021067642, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@7cef4e59, maize.SegRoot@27ddd392, 2, 20, 1, 42.0, 1.162432893865029, 0.4315108043689773, -2.0592419217617954, 1.1938966116307541, 0.3380353640140544, -2.0427380793959924, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.MerisRoot@64b8f8f4, maize.SegRoot@7cef4e59, 116, 21, 2, 42.0, 1.1624173719864141, 0.43156818611418885, -2.0592500707764487, 1.162432893865029, 0.4315108043689773, -2.0592419217617954, 0.019652896, 0.0012133972, 3.9744614E-6, 0.019652896, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@2db0f6b2, maize.SegRoot@7cef4e59, 2, 20, 1, 41.0, 1.160880706003553, 0.4372489788901277, -2.060056823227116, 1.162432893865029, 0.4315108043689773, -2.0592419217617954, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.MerisRoot@3cd1f1c8, maize.SegRoot@2db0f6b2, 121, 21, 2, 41.0, 1.1608620645707557, 0.4373051472037973, -2.060066703377006, 1.160880706003553, 0.4372489788901277, -2.060056823227116, 0.008571093, 2.3079284E-4, 3.2969115E-7, 0.008571093, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@3a4afd8d, maize.SegRoot@2db0f6b2, 2, 20, 1, 40.0, 1.1590165627238227, 0.4428658102570866, -2.0610448382161, 1.160880706003553, 0.4372489788901277, -2.060056823227116, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@1996cd68, maize.SegRoot@3a4afd8d, 2, 20, 1, 39.0, 1.1550259836323948, 0.4472166412582735, -2.062115140278532, 1.1590165627238227, 0.4428658102570866, -2.0610448382161, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@3339ad8e, maize.SegRoot@1996cd68, 2, 20, 1, 38.0, 1.1502545597968357, 0.4506497619912147, -2.063318134461885, 1.1550259836323948, 0.4472166412582735, -2.062115140278532, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@555590, maize.SegRoot@3339ad8e, 2, 20, 1, 37.0, 1.1459828895729336, 0.4546511717264661, -2.0646378132180745, 1.1502545597968357, 0.4506497619912147, -2.063318134461885, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@6d1e7682, maize.SegRoot@555590, 2, 20, 1, 36.0, 1.1411559855573832, 0.4576015528366579, -2.0666368748279207, 1.1459828895729336, 0.4546511717264661, -2.0646378132180745, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@424c0bc4, maize.SegRoot@6d1e7682, 2, 20, 1, 36.0, 1.1360257228711377, 0.4600947506538515, -2.0684981560546922, 1.1411559855573832, 0.4576015528366579, -2.0666368748279207, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@3c679bde, maize.SegRoot@424c0bc4, 2, 20, 1, 35.0, 1.1319337102296814, 0.4638320238750414, -2.0707977690227835, 1.1360257228711377, 0.4600947506538515, -2.0684981560546922, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@16b4a017, maize.SegRoot@3c679bde, 2, 20, 1, 34.0, 1.1281987094049652, 0.46809493714718586, -2.0727668646690685, 1.1319337102296814, 0.4638320238750414, -2.0707977690227835, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@8807e25, maize.SegRoot@16b4a017, 2, 20, 1, 33.0, 1.1268118474189683, 0.47292493731549845, -2.0760452347818794, 1.1281987094049652, 0.46809493714718586, -2.0727668646690685, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@2a3046da, maize.SegRoot@8807e25, 2, 20, 1, 32.0, 1.126035473835236, 0.47789994961637855, -2.0793081315095203, 1.1268118474189683, 0.47292493731549845, -2.0760452347818794, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@2a098129, maize.SegRoot@2a3046da, 2, 20, 1, 31.0, 1.1261914848145103, 0.4832404877979713, -2.0820383899031474, 1.126035473835236, 0.47789994961637855, -2.0793081315095203, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@198e2867, maize.SegRoot@2a098129, 2, 20, 1, 30.0, 1.1257318282317597, 0.48821311079898916, -2.0853643085290847, 1.1261914848145103, 0.4832404877979713, -2.0820383899031474, 0.1, 0.018849555, 2.8274333E-4, 0.06, 0.0, 1.6158163E-5, 0.0
60.0, 12.0, maize.MerisRoot@12f40c25, maize.SegRoot@198e2867, 139, 21, 2, 30.0, 1.1257609236326724, 0.4889960342124104, -2.0859857459082027, 1.1257318282317597, 0.48821311079898916, -2.0853643085290847, 0.01100204, 3.802737E-4, 6.972977E-7, 0.01100204, 0.0, 0.0, 0.0
60.0, 12.0, maize.SegRoot@3ada9e37, maize.SegRoot@198e2867, 2, 20, 1, 29.0, 1.1286413683230423, 0.5665054521411106, -2.1475080464408745, 1.1257318282317597, 0.48821311079898916, -2.0853643085290847, 0.07819776, 0.01473993, 2.2109895E-4, 0.06, 0.0, 6.8780128E-6, 0.0
